"Name","Team","K/9","BB/9","K/BB","HR/9","K%","BB%","K-BB%","AVG","WHIP","BABIP","LOB%","ERA-","FIP-","xFIP-","ERA","FIP","E-F","xFIP","SIERA","playerid"
"Joey Krehbiel","BAL","5.94","3.78","1.57","1.08","16.4%","10.4%","6.0%",".200","1.14",".213","61.7%","86","113","109","3.24","4.59","-1.35","4.19","4.09","13707"
"Felix Bautista","BAL","10.13","3.94","2.57","1.69","27.7%","10.8%","16.9%",".224","1.25",".270","94.9%","75","113","103","2.81","4.59","-1.78","3.97","3.46","20666"
"Steven Wilson","SDP","10.20","3.00","3.40","1.80","27.4%","8.1%","19.4%",".214","1.13",".250","79.7%","109","121","99","4.20","4.62","-0.42","3.78","3.10","20353"
"Ryan Tepera","LAA","6.75","4.67","1.44","1.04","18.8%","13.0%","5.8%",".167","1.10",".178","55.6%","126","119","124","4.67","4.65","0.03","4.75","4.68","10291"
"Mark Melancon","ARI","3.38","3.38","1.00","0.68","7.8%","7.8%","0.0%",".345","1.88",".365","48.8%","182","123","135","7.43","4.66","2.76","5.25","4.93","4264"
"Blake Taylor","HOU","3.95","4.61","0.86","0.66","9.8%","11.5%","-1.6%",".222","1.39",".234","79.5%","92","124","141","3.29","4.70","-1.41","5.37","5.51","16418"
"Andrew Kittredge","TBR","6.50","0.50","13.00","2.00","19.7%","1.5%","18.2%",".200","0.78",".188","95.2%","86","129","93","3.00","4.70","-1.70","3.58","3.17","12828"
"Hansel Robles","BOS","6.28","3.77","1.67","1.26","17.2%","10.3%","6.9%",".173","1.05",".175","65.6%","65","126","120","2.51","4.76","-2.25","4.59","4.45","11801"
"Robert Suarez","SDP","10.47","4.41","2.38","1.65","29.2%","12.3%","16.9%",".161","1.04",".176","72.5%","100","126","96","3.86","4.80","-0.95","3.69","3.30","30115"
"Domingo Acevedo","OAK","8.20","1.93","4.25","1.93","22.4%","5.3%","17.1%",".254","1.18",".280","86.2%","109","131","98","3.86","4.86","-1.00","3.78","3.31","17092"
